state,year,quarter,per_person,total_cost,prev_per_person,prev_total_cost,per_person_change,total_cost_change,abs_person_change,abs_total_cost_change
Maryland,2023,2,297.58,1.09048078E8,486.1,1.79067109E8,-188.52,-7.0019031E7,188.52,7.0019031E7
North Carolina,2020,2,480.98,3.18761138E8,293.63,1.72916636E8,187.35,1.45844502E8,187.35,1.45844502E8
Alaska,1994,2,594.27,1.0118028E7,780.15,1.0832307E7,-185.88,-714279.0,185.88,714279.0
Hawaii,2019,1,780.46,4.8239237E7,600.7,4.9516581E7,179.76,-1277344.0,179.76,1277344.0
Minnesota,2023,1,667.81,1.59857882E8,846.68,1.98389366E8,-178.87,-3.8531484E7,178.87,3.8531484E7
South Carolina,1989,4,552.15,8.6440327E7,373.34,4.0821514E7,178.81,4.5618813E7,178.81,4.5618813E7
Guam,1995,4,841.55,4595705.0,1020.31,4296762.0,-178.76,298943.0,178.76,298943.0
Alaska,2021,3,868.55,3.5677401E7,692.26,3.2309053E7,176.29,3368348.0,176.29,3368348.0
Georgia,2022,3,320.14,2.5654657E8,496.14,3.93398601E8,-176.0,-1.36852031E8,176.0,1.36852031E8
Virgin Islands,2023,2,517.43,5379002.0,691.74,7428189.0,-174.31,-2049187.0,174.31,2049187.0
Colorado,2020,2,474.26,1.26579368E8,300.04,6.6395637E7,174.22,6.0183731E7,174.22,6.0183731E7
Minnesota,2022,3,877.93,2.00424223E8,704.47,1.58780413E8,173.46,4.164381E7,173.46,4.164381E7
Pennsylvania,2020,2,445.07,4.50443503E8,272.59,2.56483443E8,172.48,1.9396006E8,172.48,1.9396006E8
Guam,2021,4,1168.41,1.4927293E7,997.62,1.341121E7,170.79,1516083.0,170.79,1516083.0
Oklahoma,2020,2,484.0,1.39064904E8,313.35,8.4691737E7,170.65,5.4373167E7,170.65,5.4373167E7
South Carolina,2022,4,609.86,1.83732592E8,439.51,1.34421371E8,170.35,4.9311221E7,170.35,4.9311221E7
Kentucky,2020,2,490.85,1.37439394E8,322.89,7.1394968E7,167.96,6.6044426E7,167.96,6.6044426E7
Wisconsin,2023,2,308.08,1.13914999E8,474.67,1.7691606E8,-166.59,-6.3001061E7,166.59,6.3001061E7
Alaska,2020,3,521.53,2.2271672E7,687.31,2.6380669E7,-165.78,-4108997.0,165.78,4108997.0
New Hampshire,2020,2,402.21,1.6038098E7,236.81,9054260.0,165.4,6983838.0,165.4,6983838.0
Virgin Islands,1989,4,854.75,7213244.0,689.42,3027819.0,165.33,4185425.0,165.33,4185425.0
Rhode Island,1999,1,215.14,7465278.0,379.61,1.2944469E7,-164.47,-5479191.0,164.47,5479191.0
Wyoming,2019,2,323.84,3769392.0,486.85,4040735.0,-163.01,-271343.0,163.01,271343.0
Texas,2023,2,408.24,6.12392271E8,570.93,9.05421067E8,-162.69,-2.93028796E8,162.69,2.93028796E8
Wyoming,2020,2,476.32,5922016.0,313.65,3676137.0,162.67,2245879.0,162.67,2245879.0
New Hampshire,2023,2,325.54,1.3400721E7,487.49,1.908065E7,-161.95,-5679929.0,161.95,5679929.0
Florida,2022,4,420.73,7.39660372E8,259.13,4.07274843E8,161.6,3.32385529E8,161.6,3.32385529E8
Wyoming,2024,1,255.39,3515956.0,416.48,5722024.0,-161.09,-2206068.0,161.09,2206068.0
Idaho,2020,2,455.66,3.1859571E7,294.98,1.99536E7,160.68,1.1905971E7,160.68,1.1905971E7
Washington,2023,2,294.86,1.50617068E8,455.02,2.35798394E8,-160.16,-8.5181326E7,160.16,8.5181326E7
New Jersey,2023,2,391.03,1.56371371E8,550.46,2.15464398E8,-159.43,-5.9093027E7,159.43,5.9093027E7
Massachusetts,2023,2,324.51,2.14897368E8,483.65,3.17813824E8,-159.14,-1.02916456E8,159.14,1.02916456E8
Guam,2023,3,780.36,1.9652296E7,939.49,1.599462E7,-159.13,3657676.0,159.13,3657676.0
North Carolina,2023,2,347.91,2.83335276E8,506.97,4.21408512E8,-159.06,-1.38073236E8,159.06,1.38073236E8
Louisiana,2023,2,375.71,1.66392192E8,533.87,2.46924409E8,-158.16,-8.0532217E7,158.16,8.0532217E7
Iowa,2020,2,445.2,7.0702423E7,287.72,4.0995667E7,157.48,2.9706756E7,157.48,2.9706756E7
Oklahoma,2023,2,367.51,1.25623164E8,524.54,1.73917027E8,-157.03,-4.8293863E7,157.03,4.8293863E7
Alaska,1994,1,780.15,1.0832307E7,623.14,8839451.0,157.01,1992856.0,157.01,1992856.0
Wyoming,2022,2,430.86,6225910.0,587.86,8372283.0,-157.0,-2146373.0,157.0,2146373.0
West Virginia,2020,2,413.95,6.8821489E7,256.99,4.1382125E7,156.96,2.7439364E7,156.96,2.7439364E7
Maryland,2020,2,422.28,1.77852757E8,265.69,8.6232623E7,156.59,9.1620134E7,156.59,9.1620134E7
New Mexico,2023,2,366.64,9.1980319E7,522.88,1.30881331E8,-156.24,-3.8901012E7,156.24,3.8901012E7
Guam,2019,2,677.19,1.0453117E7,833.39,1.0733415E7,-156.2,-280298.0,156.2,280298.0
Texas,2020,2,497.81,8.33721733E8,341.68,4.73909467E8,156.13,3.59812266E8,156.13,3.59812266E8
Wyoming,2019,1,486.85,4040735.0,330.77,4043442.0,156.08,-2707.0,156.08,2707.0
Colorado,2019,2,299.44,6.7169899E7,455.25,6.911296E7,-155.81,-1943061.0,155.81,1943061.0
Indiana,2020,2,486.82,1.45862013E8,331.25,8.4646248E7,155.57,6.1215765E7,155.57,6.1215765E7
Guam,2022,1,1013.64,1.3785427E7,1168.41,1.4927293E7,-154.77,-1141866.0,154.77,1141866.0
Washington,2020,2,414.2,2.19593366E8,259.94,1.22473493E8,154.26,9.7119873E7,154.26,9.7119873E7
Kentucky,2021,4,547.8,1.33723571E8,701.96,1.81530876E8,-154.16,-4.7807305E7,154.16,4.7807305E7
Kansas,2020,2,441.55,4.3570823E7,288.36,2.6134769E7,153.19,1.7436054E7,153.19,1.7436054E7
Florida,2017,4,488.23,1.120295432E9,335.21,5.61584873E8,153.02,5.58710559E8,153.02,5.58710559E8
Maine,2023,2,302.55,2.9374281E7,454.8,4.4070164E7,-152.25,-1.4695883E7,152.25,1.4695883E7
Utah,2022,3,553.26,4.1769885E7,401.11,3.0060651E7,152.15,1.1709234E7,152.15,1.1709234E7
Colorado,2023,2,357.83,1.08115152E8,508.68,1.50445457E8,-150.85,-4.2330305E7,150.85,4.2330305E7
Tennessee,2019,2,317.02,1.35229311E8,467.69,1.42459978E8,-150.67,-7230667.0,150.67,7230667.0
Maine,2020,2,399.94,3.7586195E7,249.72,2.1450034E7,150.22,1.6136161E7,150.22,1.6136161E7
Virgin Islands,2017,3,621.84,7620663.0,472.01,5971103.0,149.83,1649560.0,149.83,1649560.0
West Virginia,2023,2,318.3,5.138672E7,468.02,8.0813006E7,-149.72,-2.9426286E7,149.72,2.9426286E7
Virgin Islands,2008,4,705.29,3844982.0,556.09,2860047.0,149.2,984935.0,149.2,984935.0
Virgin Islands,2020,2,583.66,6666690.0,435.71,4286303.0,147.95,2380387.0,147.95,2380387.0
Colorado,2019,1,455.25,6.911296E7,307.6,6.9859875E7,147.65,-746915.0,147.65,746915.0
South Dakota,2021,3,444.96,1.5150475E7,591.37,2.0392994E7,-146.41,-5242519.0,146.41,5242519.0
Michigan,2023,2,335.37,2.55207823E8,479.56,3.63940846E8,-144.19,-1.08733023E8,144.19,1.08733023E8
Minnesota,2021,1,780.5,1.81039163E8,636.7,1.38732031E8,143.8,4.2307132E7,143.8,4.2307132E7
Virgin Islands,1995,4,815.04,1.4486405E7,671.76,4941636.0,143.28,9544769.0,143.28,9544769.0
Montana,2020,2,430.71,2.3747697E7,287.47,1.5165411E7,143.24,8582286.0,143.24,8582286.0
Utah,2020,2,475.28,3.4391889E7,332.56,2.3718902E7,142.72,1.0672987E7,142.72,1.0672987E7
South Carolina,2023,1,467.85,1.39959005E8,609.86,1.83732592E8,-142.01,-4.3773587E7,142.01,4.3773587E7
Guam,2002,4,1665.36,1.1890581E7,1523.43,1.1267117E7,141.93,623464.0,141.93,623464.0
Tennessee,2019,1,467.69,1.42459978E8,325.82,1.4412986E8,141.87,-1669882.0,141.87,1669882.0
Louisiana,2020,2,496.96,1.97378117E8,355.63,1.29317412E8,141.33,6.8060705E7,141.33,6.8060705E7
Montana,2020,3,570.42,2.6505183E7,430.71,2.3747697E7,139.71,2757486.0,139.71,2757486.0
District of Columbia,2020,2,409.02,2.9543868E7,269.31,1.7437652E7,139.71,1.2106216E7,139.71,1.2106216E7
Guam,1991,2,918.3,2999251.0,1057.44,3408811.0,-139.14,-409560.0,139.14,409560.0
Guam,2023,2,939.49,1.599462E7,800.63,1.4182917E7,138.86,1811703.0,138.86,1811703.0
New Mexico,2020,3,429.17,1.06506042E8,566.05,1.39310684E8,-136.88,-3.2804642E7,136.88,3.2804642E7
Oregon,2023,2,310.81,1.32333475E8,447.66,1.8683262E8,-136.85,-5.4499145E7,136.85,5.4499145E7
Rhode Island,2023,2,318.68,2.8146986E7,455.08,3.9898425E7,-136.4,-1.1751439E7,136.4,1.1751439E7
West Virginia,2019,2,259.12,4.1273931E7,394.56,4.2756125E7,-135.44,-1482194.0,135.44,1482194.0
Florida,2021,3,356.97,6.37687167E8,491.75,9.04058971E8,-134.78,-2.66371804E8,134.78,2.66371804E8
Arizona,2022,2,396.75,1.56075546E8,530.68,1.99215588E8,-133.93,-4.3140042E7,133.93,4.3140042E7
Alaska,2019,2,474.14,1.8619038E7,608.05,1.8394029E7,-133.91,225009.0,133.91,225009.0
Guam,2018,4,702.0,1.0948243E7,835.87,1.3006112E7,-133.87,-2057869.0,133.87,2057869.0
Nebraska,2021,3,425.61,3.1593482E7,559.23,4.1457524E7,-133.62,-9864042.0,133.62,9864042.0
Connecticut,2023,2,340.72,7.8569753E7,474.03,1.07489414E8,-133.31,-2.8919661E7,133.31,2.8919661E7
Louisiana,2009,1,398.36,1.16429377E8,531.42,1.56437074E8,-133.06,-4.0007697E7,133.06,4.0007697E7
Connecticut,2020,2,414.61,9.2980505E7,282.72,5.9966223E7,131.89,3.3014282E7,131.89,3.3014282E7
Hawaii,2022,4,997.31,8.7891734E7,865.71,7.9053452E7,131.6,8838282.0,131.6,8838282.0
Kentucky,2022,2,439.41,1.10947343E8,570.94,1.42971091E8,-131.53,-3.2023748E7,131.53,3.2023748E7
Guam,2019,1,833.39,1.0733415E7,702.0,1.0948243E7,131.39,-214828.0,131.39,214828.0
Virgin Islands,1990,1,723.53,2868259.0,854.75,7213244.0,-131.22,-4344985.0,131.22,4344985.0
Ohio,2023,2,352.62,2.55352246E8,483.36,3.54951568E8,-130.74,-9.9599322E7,130.74,9.9599322E7
Guam,2022,4,1119.44,1.4458091E7,988.85,1.3050356E7,130.59,1407735.0,130.59,1407735.0
Guam,1992,3,983.4,1.251961E7,852.82,3094869.0,130.58,9424741.0,130.58,9424741.0
Arizona,2020,2,450.31,1.87087063E8,320.65,1.19443051E8,129.66,6.7644012E7,129.66,6.7644012E7
Alaska,2019,1,608.05,1.8394029E7,479.76,1.7302168E7,128.29,1091861.0,128.29,1091861.0
Virgin Islands,2024,3,651.82,6966865.0,523.74,5592957.0,128.08,1373908.0,128.08,1373908.0
Colorado,2022,4,575.49,1.67478706E8,448.45,1.30866626E8,127.04,3.661208E7,127.04,3.661208E7
Wyoming,2022,3,303.97,4272122.0,430.86,6225910.0,-126.89,-1953788.0,126.89,1953788.0
Louisiana,2008,4,531.42,1.56437074E8,404.54,2.14344232E8,126.88,-5.7907158E7,126.88,5.7907158E7
North Dakota,2021,3,363.44,8802522.0,489.98,1.2298487E7,-126.54,-3495965.0,126.54,3495965.0
Guam,2018,3,835.87,1.3006112E7,710.19,1.0950943E7,125.68,2055169.0,125.68,2055169.0
Connecticut,2022,4,539.49,1.21184799E8,413.99,9.1921194E7,125.5,2.9263605E7,125.5,2.9263605E7
Nevada,2023,1,420.87,1.10163946E8,545.99,1.36522345E8,-125.12,-2.6358399E7,125.12,2.6358399E7
Alaska,2020,4,646.59,2.3467466E7,521.53,2.2271672E7,125.06,1195794.0,125.06,1195794.0
Ohio,2020,4,465.46,3.44367537E8,590.46,4.29003493E8,-125.0,-8.4635956E7,125.0,8.4635956E7
South Carolina,1990,1,427.42,3.9683295E7,552.15,8.6440327E7,-124.73,-4.6757032E7,124.73,4.6757032E7
Mississippi,2006,1,336.19,5.7011228E7,460.59,1.06399978E8,-124.4,-4.938875E7,124.4,4.938875E7
Iowa,2022,3,309.22,4.180763E7,185.27,2.5634472E7,123.95,1.6173158E7,123.95,1.6173158E7
New York,2022,4,559.07,9.23895448E8,435.17,7.21588513E8,123.9,2.02306935E8,123.9,2.02306935E8
West Virginia,2019,1,394.56,4.2756125E7,270.87,4.3630609E7,123.69,-874484.0,123.69,874484.0
Kentucky,2021,3,701.96,1.81530876E8,578.54,1.6806619E8,123.42,1.3464686E7,123.42,1.3464686E7
Guam,2009,2,1109.42,1.0911058E7,986.01,8982239.0,123.41,1928819.0,123.41,1928819.0
Indiana,2022,3,379.04,1.09262646E8,502.37,1.4667987E8,-123.33,-3.7417224E7,123.33,3.7417224E7
Utah,2023,3,383.57,3.0773615E7,261.29,2.0987968E7,122.28,9785647.0,122.28,9785647.0
California,2020,2,408.74,1.024012132E9,286.6,6.21128562E8,122.14,4.0288357E8,122.14,4.0288357E8
Idaho,2021,2,397.09,2.4736576E7,517.9,3.3059223E7,-120.81,-8322647.0,120.81,8322647.0
Virgin Islands,2024,4,531.06,5762648.0,651.82,6966865.0,-120.76,-1204217.0,120.76,1204217.0
District of Columbia,2021,2,527.37,4.6088042E7,406.86,3.5424775E7,120.51,1.0663267E7,120.51,1.0663267E7
District of Columbia,2019,2,277.64,1.7796831E7,397.96,1.8236305E7,-120.32,-439474.0,120.32,439474.0
Oregon,2020,2,380.45,1.53809484E8,260.47,9.1225148E7,119.98,6.2584336E7,119.98,6.2584336E7
District of Columbia,2023,2,335.31,2.7692973E7,455.19,3.8279199E7,-119.88,-1.0586226E7,119.88,1.0586226E7
Delaware,2022,4,591.1,3.5883474E7,471.35,2.8116628E7,119.75,7766846.0,119.75,7766846.0
Mississippi,2020,2,471.83,1.02411021E8,352.24,7.0243947E7,119.59,3.2167074E7,119.59,3.2167074E7
Arkansas,2020,2,473.77,8.6114728E7,354.32,5.5002345E7,119.45,3.1112383E7,119.45,3.1112383E7
Virginia,2022,4,627.19,2.67909552E8,508.92,2.13032853E8,118.27,5.4876699E7,118.27,5.4876699E7
Illinois,2023,2,370.74,4.02048552E8,488.89,5.41984973E8,-118.15,-1.39936421E8,118.15,1.39936421E8
Wyoming,2024,2,373.03,5133297.0,255.39,3515956.0,117.64,1617341.0,117.64,1617341.0
Guam,2021,1,997.84,1.4018773E7,881.34,1.2967771E7,116.5,1051002.0,116.5,1051002.0
Guam,1989,1,853.91,3131492.0,970.24,3371004.0,-116.33,-239512.0,116.33,239512.0
New York,2020,2,415.49,6.50165001E8,299.28,4.41866067E8,116.21,2.08298934E8,116.21,2.08298934E8
Tennessee,2020,4,479.7,2.1181609E8,595.78,2.54066617E8,-116.08,-4.2250527E7,116.08,4.2250527E7
North Dakota,2020,3,449.13,9950750.0,564.69,1.1482981E7,-115.56,-1532231.0,115.56,1532231.0
Louisiana,2019,2,337.96,1.24864127E8,452.9,1.29372082E8,-114.94,-4507955.0,114.94,4507955.0
Guam,1992,4,869.53,3261231.0,983.4,1.251961E7,-113.87,-9258379.0,113.87,9258379.0
New Jersey,2020,2,443.75,1.60537113E8,330.3,1.11939598E8,113.45,4.8597515E7,113.45,4.8597515E7
Illinois,2019,2,314.46,2.76002864E8,426.8,2.83201739E8,-112.34,-7198875.0,112.34,7198875.0
Kentucky,2024,2,281.77,7.6556487E7,393.8,1.08620423E8,-112.03,-3.2063936E7,112.03,3.2063936E7
New Hampshire,2008,4,393.41,1.3542942E7,281.42,9101861.0,111.99,4441081.0,111.99,4441081.0
Illinois,2020,2,420.21,4.30690853E8,308.27,2.75200657E8,111.94,1.55490196E8,111.94,1.55490196E8
Virgin Islands,1996,1,703.75,4997115.0,815.04,1.4486405E7,-111.29,-9489290.0,111.29,9489290.0
Louisiana,2006,1,361.74,9.8008116E7,472.46,2.67305128E8,-110.72,-1.69297012E8,110.72,1.69297012E8
Tennessee,2022,4,428.27,1.75043262E8,317.97,1.28470674E8,110.3,4.6572588E7,110.3,4.6572588E7
Arkansas,2022,4,407.51,5.207854E7,297.75,3.4649554E7,109.76,1.7428986E7,109.76,1.7428986E7
District of Columbia,2019,1,397.96,1.8236305E7,288.71,1.9501021E7,109.25,-1264716.0,109.25,1264716.0
South Carolina,2020,2,475.23,1.38619074E8,366.43,9.7252138E7,108.8,4.1366936E7,108.8,4.1366936E7
Pennsylvania,2023,2,341.67,3.52440311E8,450.42,4.61062653E8,-108.75,-1.08622342E8,108.75,1.08622342E8
New York,2023,2,363.99,6.12943874E8,472.48,8.01582204E8,-108.49,-1.8863833E8,108.49,1.8863833E8
South Carolina,2019,2,319.11,8.7944755E7,427.2,9.0479419E7,-108.09,-2534664.0,108.09,2534664.0
Florida,2006,1,299.99,1.84924587E8,407.25,3.7463776E8,-107.26,-1.89713173E8,107.26,1.89713173E8
Mississippi,2019,2,301.11,6.2519639E7,408.31,6.4371505E7,-107.2,-1851866.0,107.2,1851866.0
Pennsylvania,2023,1,450.42,4.61062653E8,557.48,5.60917668E8,-107.06,-9.9855015E7,107.06,9.9855015E7
Nebraska,2021,1,537.01,4.02466E7,430.03,3.1513859E7,106.98,8732741.0,106.98,8732741.0
Illinois,2021,4,534.43,5.54011744E8,427.63,5.09153932E8,106.8,4.4857812E7,106.8,4.4857812E7
Vermont,2020,2,368.72,1.5047505E7,261.93,1.0278746E7,106.79,4768759.0,106.79,4768759.0
South Carolina,2022,3,439.51,1.34421371E8,546.06,1.67423378E8,-106.55,-3.3002007E7,106.55,3.3002007E7
Guam,2023,4,886.58,1.035285E7,780.36,1.9652296E7,106.22,-9299446.0,106.22,9299446.0
South Carolina,2000,1,279.28,3.398272E7,385.41,4.7882215E7,-106.13,-1.3899495E7,106.13,1.3899495E7
Alaska,2022,3,824.04,3.2644211E7,718.04,3.2335719E7,106.0,308492.0,106.0,308492.0
Hawaii,2021,1,896.43,9.5170869E7,791.88,7.8540563E7,104.55,1.6630306E7,104.55,1.6630306E7
Maryland,2022,4,560.11,2.0065651E8,455.61,1.60531668E8,104.5,4.0124842E7,104.5,4.0124842E7
South Carolina,2023,2,363.43,1.12975992E8,467.85,1.39959005E8,-104.42,-2.6983013E7,104.42,2.6983013E7
Mississippi,2022,4,394.24,8.0986066E7,289.92,5.9962099E7,104.32,2.1023967E7,104.32,2.1023967E7
Hawaii,2009,2,647.95,3.8322294E7,543.83,3.0273605E7,104.12,8048689.0,104.12,8048689.0
Louisiana,2019,1,452.9,1.29372082E8,348.97,1.35765421E8,103.93,-6393339.0,103.93,6393339.0
Guam,1991,1,1057.44,3408811.0,953.84,3173543.0,103.6,235268.0,103.6,235268.0
Maine,2022,4,536.83,5.2290141E7,433.5,4.1450514E7,103.33,1.0839627E7,103.33,1.0839627E7
Utah,2019,2,339.59,2.4520284E7,441.46,2.5206718E7,-101.87,-686434.0,101.87,686434.0
South Dakota,2019,2,340.02,1.2868447E7,441.81,1.3158937E7,-101.79,-290490.0,101.79,290490.0
Guam,2008,4,983.25,8698250.0,881.62,7592524.0,101.63,1105726.0,101.63,1105726.0
Virginia,2019,2,306.54,1.04842593E8,408.12,1.0999138E8,-101.58,-5148787.0,101.58,5148787.0
Virgin Islands,2022,4,767.01,8318449.0,665.57,7021615.0,101.44,1296834.0,101.44,1296834.0
Alabama,2020,2,464.67,1.67790291E8,363.43,1.21865069E8,101.24,4.5925222E7,101.24,4.5925222E7
Virginia,2023,1,526.65,2.30359075E8,627.19,2.67909552E8,-100.54,-3.7550477E7,100.54,3.7550477E7
California,2019,2,327.18,6.13782761E8,427.64,6.40086258E8,-100.46,-2.6303497E7,100.46,2.6303497E7
Idaho,2021,3,297.55,1.8392228E7,397.09,2.4736576E7,-99.54,-6344348.0,99.54,6344348.0
Michigan,2020,2,414.25,3.24238069E8,314.72,2.02406923E8,99.53,1.21831146E8,99.53,1.21831146E8
Guam,1990,4,953.84,3173543.0,854.38,2851392.0,99.46,322151.0,99.46,322151.0
Nebraska,2020,3,348.4,2.4535815E7,447.56,3.4359571E7,-99.16,-9823756.0,99.16,9823756.0
Illinois,2019,1,426.8,2.83201739E8,327.91,2.88903535E8,98.89,-5701796.0,98.89,5701796.0
Missouri,2021,4,400.82,1.30429773E8,499.04,1.67616484E8,-98.22,-3.7186711E7,98.22,3.7186711E7
Alaska,2001,1,576.02,8056421.0,477.83,5444152.0,98.19,2612269.0,98.19,2612269.0
Illinois,2021,3,427.63,5.09153932E8,525.65,5.57203086E8,-98.02,-4.8049154E7,98.02,4.8049154E7
Kansas,2019,2,294.07,2.7257446E7,391.67,2.8245443E7,-97.6,-987997.0,97.6,987997.0
Florida,2020,2,415.12,8.03445456E8,317.68,4.62214939E8,97.44,3.41230517E8,97.44,3.41230517E8
South Dakota,2019,1,441.81,1.3158937E7,344.51,1.3277732E7,97.3,-118795.0,97.3,118795.0
Nevada,2023,2,323.6,8.3942066E7,420.87,1.10163946E8,-97.27,-2.622188E7,97.27,2.622188E7
Florida,2019,2,275.13,4.14566211E8,372.38,4.24719033E8,-97.25,-1.0152822E7,97.25,1.0152822E7
Kentucky,2019,2,319.32,7.6376254E7,416.52,8.0749228E7,-97.2,-4372974.0,97.2,4372974.0
Virginia,2020,2,445.1,1.68139229E8,348.05,1.16934044E8,97.05,5.1205185E7,97.05,5.1205185E7
Texas,2021,1,619.32,9.32873907E8,522.31,8.50299645E8,97.01,8.2574262E7,97.01,8.2574262E7
Mississippi,2019,1,408.31,6.4371505E7,311.76,6.8393621E7,96.55,-4022116.0,96.55,4022116.0
Wyoming,2023,1,405.87,5908928.0,502.0,7212775.0,-96.13,-1303847.0,96.13,1303847.0
Nebraska,2008,3,407.4,2.127743E7,311.38,1.6262438E7,96.02,5014992.0,96.02,5014992.0
Virginia,2019,1,408.12,1.0999138E8,312.27,1.07700041E8,95.85,2291339.0,95.85,2291339.0
Rhode Island,1998,4,379.61,1.2944469E7,283.91,8000446.0,95.7,4944023.0,95.7,4944023.0
